title,addr,mapx,mapy
갤럭시라이프스타일 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
갤럭시라이프스타일 현대 대구점,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
게스 동성로,대구광역시 중구 동성로5길 22,128.595721,35.86773136
골든듀 신세계대구,대구광역시 동구 동부로 149,128.629215,35.87798359
관문시장,대구광역시 남구 대명서7길 24-3,128.5580003,35.8356343
관음시장(대구),대구광역시 북구 관음중앙로28길 1,128.5472343,35.9449495
교동시장,대구광역시 중구 동성로 70-15 (교동),128.5966292,35.87293356
구찌 현대 대구점,대구광역시 중구 달구벌대로 2077 1층,128.5906549,35.86667027
"군위장 (3, 8일)",대구광역시 군위군 군위읍 중앙5길 12-8,128.5668104,36.23894981
나그놀스트릿 대구동성로,대구광역시 중구 동성로2길 50-14,128.5974237,35.86789526
나이키 대구,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
나이키타운 동성로,대구광역시 중구 동성로6길 2-7,128.5957071,35.86875624
남문시장,대구광역시 중구 명륜로 70,128.5919938,35.86109871
네스프레소 현대 대구점,대구광역시 중구 달구벌대로 2077 2층,128.5906549,35.86667027
네파 이시아폴리스,"대구광역시 동구 팔공로49길 16(봉무동 ,롯데이시아폴리스점)",128.6373909,35.92158992
노스페이스 롯데율하,대구광역시 동구 안심로 80,128.6934208,35.86849419
다이아미 신세계백화점 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
닥터마틴 대구동성로,대구광역시 중구 동성로 24-1,128.595321,35.86899787
달서시장,대구광역시 달서구 당산로 35,128.5442652,35.8402363
대곡시장,대구광역시 달서구 도원로 24,128.5354919,35.80762039
대구 봉덕시장,대구광역시 남구 봉덕로 115,128.6034071,35.84514795
대구 서문시장 & 서문시장 야시장,대구광역시 중구 큰장로26길 45,128.5807862,35.86892261
대구 안지랑시장,대구광역시 남구 대명로36길 19,128.5769235,35.83834545
대구 칠성시장&별별상상 칠성야시장,대구광역시 북구 칠성시장로 28,128.6048061,35.87653608
대구 평화시장,대구광역시 동구 아양로9길 10,128.6192713,35.8830134
대구 한약재 도매시장,대구광역시 중구 남성로 51-1,128.5923741,35.86729523
대구광역시수산물도매시장,대구광역시 북구 매천로18길 34,128.5430497,35.90265143
대구국제공항 면세점,대구광역시 동구 공항로 221,128.6376609,35.90003959
대구굿즈 대구,"대구광역시 중구 서성로14길 69, 1층",128.5914435,35.87301957
대구백화점 프라자점,대구광역시 중구 명덕로 333,128.6064232,35.85578846
대구종합유통단지관리공단,대구광역시 북구 유통단지로13길 9,128.6091271,35.9082298
대구칠곡시장,대구광역시 북구 칠곡중앙대로 526,128.5512451,35.9425304
대동종합시장,대구광역시 달서구 상원로 22-24,128.5378249,35.81171441
대림목공예,대구광역시 동구 팔공로24길 65 (도동),128.6445378,35.90922201
대명시장(대명신시장),대구광역시 남구 명덕로14길 16,128.5769119,35.85805433
대평리시장,대구광역시 서구 문화로49길 25,128.5589573,35.87812395
대현 듀엘 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
대현 주크 이시아폴리스,대구광역시 동구 팔공로49길 16 (봉무동) 이시아폴리스센터,128.6373909,35.92158992
더현대 대구,대구광역시 중구 달구벌대로 2077 (계산동2가),128.5906549,35.86667027
도로시 대현프리몰대구,대구광역시 중구 국채보상로 지하580 (동성로2가),128.5952099,35.87088099
동구시장,대구광역시 동구 화랑로25길 1,128.6401114,35.87432588
동대구시장,대구광역시 북구 대현로20길 30,128.6091167,35.88112176
디스커버리 대구동성로점,대구광역시 중구 동성로6길 2-28 (동성로2가),128.5952961,35.86813686
디올 신세계 대구점,대구광역시 동구 동부로 149 5층,128.629215,35.87798359
라움아틀리에,대구광역시 중구 중앙대로 394-8 (동성로3가),128.5941601,35.86808407
라코스테 대구동성로,대구광역시 중구 동성로1길 29-36,128.5954905,35.86750082
렌즈미 대구동성로,대구광역시 중구 동성로6길 19,128.5965765,35.86906733
렌즈타운 대구동성로,대구광역시 중구 동성로6길 19,128.5965765,35.86906733
로데오안경 대구동성로,대구광역시 중구 동성로4길 46,128.5990069,35.86678153
롯데마트_토이저러스대구율하점,대구광역시 동구 안심로 80 (율하동),128.6934208,35.86849419
롯데백화점 대구점,대구광역시 북구 태평로 161,128.5961541,35.87592766
롯데아울렛 대구율하점,대구광역시 동구 안심로 80,128.6934208,35.86849419
롯데아울렛 이시아폴리스점,대구광역시 동구 팔공로49길 16 (봉무동),128.6373909,35.92158992
롯데하이마트 송현점,대구광역시 달서구 구마로 244,128.5545589,35.83674244
롯데하이마트 침산점,대구광역시 북구 중앙대로 598,128.5980953,35.8860821
루이비통 신세계대구,대구광역시 동구 동부로 149,128.629215,35.87798359
루이비통 현대대구,대구광역시 중구 달구벌대로 2077 (계산동2가) 현대백화점,128.5906549,35.86667027
룩스 대현프리몰대구,대구광역시 중구 국채보상로 580,128.5952099,35.87088099
마이클코어스 롯데 대구점,대구광역시 북구 태평로 161 2층,128.5961541,35.87592766
마인드브릿지 동성로점,대구광역시 중구 동성로 10-1 (동성로3가),128.5947211,35.86779244
맨온드분,대구광역시 동구 동부로149,128.629215,35.87798359
메릭 S,대구광역시 중구 서성로 14 길 112 (향촌동),128.5937266,35.87309738
목련시장,대구광역시 수성구 용학로42길 9,128.6318636,35.82084566
몽블랑 현대 대구점,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
미꼬쥬얼리 신세계대구,대구광역시 동구 동부로 149,128.629215,35.87798359
반스 대구동성로,대구광역시 중구 동성로 8,128.5944823,35.86757302
반야월종합시장,대구광역시 동구 율하동로 144,128.7030531,35.87244114
발렌시아가 현대 대구점,대구광역시 중구 달구벌대로 2077 2층,128.5906549,35.86667027
발렌티노 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
방천시장,대구광역시 중구 달구벌대로446길,128.6060481,35.8621794
방촌종합시장,대구광역시 동구 동촌로46길 2,128.6644285,35.8813672
번개시장,대구광역시 중구 태평로 177-1 (태평로1가),128.5968096,35.87539162
베네통현대아울렛대구,대구광역시 동구 대구동구동대구로454,128.626571,35.87077325
보따리 대현프리몰대구,대구광역시 중구 국채보상로 지하580 (동성로2가),128.5952099,35.87088099
보름달안경 대구동성로,대구광역시 중구 동성로1길 29-9,128.5951767,35.86713142
보테가베네타 신세계 대구점,대구광역시 동구 동부로 149 5층,128.629215,35.87798359
보테가베네타 현대 대구점,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
불가리 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
불로전통시장,대구광역시 동구 팔공로26길 9-1,128.6423907,35.91233828
블랙야크,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
비너스,대구광역시 중구 달구벌대로2077,128.5906549,35.86667027
비비안 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
빈폴 롯데 대구점,대구광역시 북구 태평로 161,128.5961541,35.87592766
빈폴 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
사계절,대구광역시 중구 국채보상로 지하580 (동성로2가),128.5952099,35.87088099
산격종합시장,대구광역시 북구 동북로 164,128.61048,35.89921973
상동시장,대구광역시 수성구 상화로 38,128.6110762,35.83463539
새길시장,대구광역시 서구 달서로4길 17-7,128.5721899,35.86439519
서남시장,대구광역시 달서구 달구벌대로329길 17,128.5451592,35.85439305
서대구시장,대구광역시 달서구 명덕로2길 30,128.5707123,35.86064003
서문시장 5지구,대구광역시 중구 큰장로26길 6,128.5784976,35.86812266
서봉제화,대구광역시 중구 서성로 14 길 91 (대안동),128.5926684,35.87316402
서봉제화,대구광역시 중구 서성로14길 91 (대안동),128.5926684,35.87316402
성당시장,대구광역시 남구 성당로 196,128.5731763,35.85041901
세인트제임스 동성로,"대구광역시 중구 동성로 10, 1,2층(동성로3가)",128.5941907,35.86685643
세컨페이스 동성로,대구광역시 중구 동성로5길 46 1층,128.5970987,35.86746197
송라시장,대구광역시 동구 동부로5길 10,128.6153219,35.87454206
송현시장,대구광역시 달서구 송현동3길 2,128.54989,35.83087635
쇼메 신세계대구,대구광역시 동구 동부로 149,128.629215,35.87798359
수성시장,대구광역시 수성구 들안로 285-57,128.6169806,35.85570256
수진주얼리 대구,대구광역시 중구 동성로 70 (동성로1가),128.5959931,35.87309742
스톤헨지 현대 대구점,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
스페이스M 현대아울렛 대구점,대구광역시 동구 동대구로 454,128.626571,35.87077325
시슬리 이시아폴리스,대구광역시 동구 팔공로49길 16 이시아폴리스 1층,128.6373909,35.92158992
신매시장,대구광역시 수성구 신매로16길 56-3,128.7101229,35.83813127
썬쥬얼리,대구광역시 중구 동성로 63,128.5955959,35.87255581
씨채널한일로안경 대구동성로,대구광역시 중구 국채보상로 604,128.596757,35.87053662
아리따움 대구반월당중앙,대구광역시 중구 달구벌대로 지하2100 (덕산동),128.5933602,35.86447057
아리따움 복현영진,대구광역시 북구 동북로 246,128.6177795,35.89510922
아트박스 대구동성로,대구광역시 중구 동성로5길 21 (삼덕동1가),128.5957794,35.86804521
아트박스 대구중앙,대구광역시 중구 동성로 39,128.5954016,35.87053381
에고이스트 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
에메필 대구1호,대구광역시 중구 동성로5길 53 (삼덕동1가) 1층,128.5975487,35.86767306
에이케이골프 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
에잇세컨즈 동성로2가점,대구광역시 중구 동성로 34,128.5957988,35.86990889
영선시장,대구광역시 남구 중앙대로48길 36,128.5929717,35.8523636
오메가 신세계 대구점,대구광역시 동구 동부로 149 1층,128.629215,35.87798359
오메가 현대 대구점,대구광역시 중구 달구벌대로 2077 2층,128.5906549,35.86667027
오일릴리 롯데아울렛 이시아폴리스점,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
올리브영 경북대,대구광역시 북구 산격동 1341-1,128.6094441,35.89302042
올리브영 대구감삼DI,대구광역시 달서구 와룡로 130,128.5376268,35.84419129
올리브영 대구대백,대구광역시 중구 동성로6길 22(공평동),128.5965904,35.86886736
올리브영 대구대현,대구광역시 북구 신암로 111,128.6113138,35.88087738
올리브영 대구동성로,대구광역시 중구 국채보상로 593,128.5955126,35.87113097
올리브영 대구동성로광장점,대구광역시 중구 동성로1길 28,128.5950434,35.86630651
올리브영 대구두류,대구광역시 달서구 달구벌대로 1704,128.5521669,35.85550138
올리브영 대구반월당,대구광역시 중구 달구벌대로 지하2100,128.5933602,35.86447057
올리브영 대구범어,대구광역시 수성구 달구벌대로 2379,128.6228605,35.85968277
올리브영 대구본점,대구광역시 중구 동성로5길 33(삼덕동1가5-1),128.5964849,35.86788136
올리브영 대구수성4가,"대구광역시 수성구 달구벌대로 2297, 1층",128.6137586,35.86007422
올리브영 대구시지,대구광역시 수성구 달구벌대로 3214,128.7079064,35.83958939
올리브영 대구중앙로점,대구광역시 중구 중앙대로 388 (동성로3가),128.5937934,35.86772299
올리브영 대구침산,대구광역시 북구 침산로 124,128.5917681,35.88731796
올리브영 수성구청역,대구광역시 수성구 달구벌대로 2518,128.6380342,35.85854707
올리브영동대구역사점,대구광역시 동구 동대구로 550,128.6288011,35.87948064
옵틱리브레해방안경 대구대곡역점,대구광역시 달서구 비슬로 2708 (대곡동),128.5116718,35.80866428
와룡시장,대구광역시 달서구 신당동 1750,128.4993493,35.85738909
원대신시장,대구광역시 서구 달서로54길 6,128.5748252,35.88557895
원더플레이스 대구동성로,대구광역시 중구 동성로5길 25,128.5960766,35.86804522
월배시장,대구광역시 달서구 월배로24길 13,128.5274258,35.81412784
유니클로 대구감삼,대구광역시 달서구 달구벌대로 1640(감삼동),128.5457453,35.85295156
유니클로 대구대천,대구광역시 달서구 진천로 113,128.5215484,35.81845502
유니클로 롯데대구,대구광역시 북구 태평로 161,128.5961541,35.87592766
유니클로 롯데봉무,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
유니클로 신세계대구,"대구광역시 동구 효신로 88(신암동, 파미에타운)",128.6332146,35.87971958
은혜화장품 대현프리몰대구,대구광역시 중구 국채보상로 580,128.5952099,35.87088099
이마트 만촌,대구광역시 수성구 동원로 136 (만촌동),128.6372173,35.87120395
이마트 칠성,대구광역시 북구 침산로 93 (칠성동2가),128.5898155,35.88526815
이마트트레이더스 비산,대구광역시 서구 팔달로 54 (비산동),128.5559878,35.88994755
입생로랑 롯데 대구점,대구광역시 북구 태평로 161,128.5961541,35.87592766
잇미샤 현대아울렛대구,대구광역시 동구 대구동구동대구로454,128.626571,35.87077325
자라 롯데 봉무점,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
정일품 동성로,대구광역시 중구 동성로 72,128.596082,35.87318353
제니스 대구,대구광역시 중구 동성로 75,128.5957042,35.87356125
중소기업명품마루 동대구역,대구광역시 동구 동대구로 550,128.6288011,35.87948064
천미사 (상감입사장),대구광역시 수성구 들안로 108,128.6171283,35.83953494
청구시장,대구광역시 수성구 만촌로 66,128.6441058,35.86484647
칠성종합시장,대구광역시 북구 칠성시장로 28 (칠성동1가),128.6041562,35.87670828
침산골목시장,대구광역시 북구 노원동1가 19-17,128.5795024,35.89044793
칼하트WIP 대구동성로,대구광역시 중구 동성로1길 29-31(동성로3가),128.5952378,35.86780356
컬럼비아 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
코오롱 헨리코튼 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
퀸스로드,대구광역시 서구 평리로35길 18-17,128.5450562,35.86171444
킴스안경 대구동성로,대구광역시 중구 동성로5길 43,128.5969932,35.86778138
타임,대구광역시 중구 동성로3길 68 1층,128.5982486,35.86833134
테그호이어,대구광역시 북구 태평로161,128.5961541,35.87592766
토니모리 대구반월당,대구광역시 중구 달구벌대로 지하 2100,128.5933602,35.86447057
토니모리 동성로,대구광역시 중구 동성로 37,128.5955071,35.87016163
토즈 현대 대구점,대구광역시 중구 달구벌대로 2077 1층,128.5906549,35.86667027
톰보이 이시아폴리스,"대구광역시 동구 팔공로49길 16, 1층",128.6373909,35.92158992
티파니 신세계대구,"대구광역시 동구 동부로 149, 5층(신천동, 신세계백화점 대구점)",128.629215,35.87798359
파타고니아_대구동성로점,대구광역시 중구 동성로 11 (동성로3가),128.5944573,35.86807296
파타고니아_대구칠곡직영점,대구광역시 북구 칠곡중앙대로 379 1층,128.5476208,35.92957624
팍스뮤직,대구광역시 중구 국채보상로 580,128.5952099,35.87088099
팔달시장,대구광역시 북구 팔달로37길 11,128.5707532,35.88908681
페레가모 롯데 대구점,대구광역시 북구 태평로 161,128.5961541,35.87592766
펜디 신세계 대구점,대구광역시 동구 동부로 149 5층,128.629215,35.87798359
펜디 현대 대구,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
폴햄 이시아폴리스,대구광역시 동구 팔공로49길 16 (봉무동),128.6373909,35.92158992
프라다 롯데 대구점,대구광역시 북구 태평로 161,128.5961541,35.87592766
프라다 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
프레드 신세계 대구점,대구광역시 동구 동부로 149,128.629215,35.87798359
하이마트 범어네거리,대구광역시 수성구 동대구로 297 (범어동),128.6252771,35.85711922
하이마트 성서점,대구광역시 달서구 달구벌대로 1300,128.5095374,35.85111221
하이마트 평리점,대구광역시 서구 국채보상로 228,128.55608,35.87035533
핫트랙스 (대구점),대구광역시 중구 국채보상로 586,128.5948294,35.87057269
핫트랙스 대구점,대구광역시 중구 국채보상로 586,128.5948405,35.87063657
해지스,대구광역시 북구 태평로 161,128.5961541,35.87592766
현대시티아울렛 대구,대구광역시 동구 동대구로 454,128.626571,35.87077325
현풍백년도깨비시장,대구광역시 달성군 현풍읍 현풍로6길 5,128.4422699,35.69477866
"현풍장 (5, 10일)",대구광역시 달성군 현풍읍 비슬로130길 53-1,128.4421643,35.69472311
홀리데이비지터샵,대구광역시 중구 경상감영길 184,128.597318,35.87197813
홀리카홀리카_동성로중앙점,"대구광역시 중구 동성로 31 ,2층(동성로2가)",128.5954266,35.86959503
홈플러스 남대구,대구광역시 남구 대명로 116 (대명동),128.5698769,35.83873416
홈플러스 상인,대구광역시 달서구 월배로 183 (상인동),128.5336696,35.81788586
홈플러스 성서,대구광역시 달서구 달구벌대로 1467 (용산동),128.5274331,35.84949605
홈플러스 칠곡,대구광역시 북구 동암로12길 8 (동천동),128.5559807,35.94489411
홈플러스스토어즈 내당,대구광역시 서구 달구벌대로 1821 (내당동),128.5638407,35.86020107
홈플러스스토어즈 동촌,대구광역시 동구 동촌로 127 (검사동),128.6556847,35.88621648
화원시장,대구광역시 달성군 화원읍 인흥길 33-4,128.4991508,35.801176
황금시장,대구광역시 수성구 청솔로 19,128.6199806,35.84845065
효목시장,대구광역시 동구 아양로50길 22-2,128.6394167,35.88582456
휠라 대구동성로1호,대구광역시 중구 동성로1길 29-25,128.5952211,35.86763692
휴고보스 현대 대구점,대구광역시 중구 달구벌대로 2077,128.5906549,35.86667027
(주)신세계 동대구복합환승센터,대구광역시 동구 동부로 149,128.629215,35.87798359
(주)즐거운세상인터불고호텔,대구광역시 수성구 팔현길212,128.6591931,35.87349854
ABC마트 대구동성로2가점,대구광역시 중구 동성로 40,128.5958376,35.87039495
ABC마트 이시아폴리스점,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
ARCTERYX,대구광역시 중구 경상감영길 132,128.5946655,35.87209196
ER NC아울렛 엑스코,대구광역시 북구 유통단지로14길 22,128.6103882,35.90526071
ER 동아 강북,대구광역시 북구 칠곡중앙대로 416,128.5489956,35.93304532
ER 동아 쇼핑,대구광역시 중구 달구벌대로 2085,128.5918659,35.86637589
ER 동아 수성,대구광역시 수성구 지범로 191,128.6403851,35.82111524
EW 뉴발란스 동성로,대구광역시 중구 동성로 21-1,128.5949989,35.86891177
GGPX현대아울렛대구,대구광역시 동구 대구동구동대구로454,128.626571,35.87077325
I LOVE J,대구광역시 동구 대구동구동대구로454,128.626571,35.87077325
IDL 메이즈메이 이시아폴리스,"대구광역시 동구 팔공로49길 16, 1층",128.6373909,35.92158992
LF 마에스트로 현대대구,대구광역시 중구 달구벌대로 2077 (계산동2가) 현대백화점,128.5906549,35.86667027
MLB 이시아폴리스,대구광역시 동구 팔공로49길 16,128.6373909,35.92158992
MUJI 롯데대구,대구광역시 북구 태평로 161,128.5961541,35.87592766
MUJI 신세계대구,"대구광역시 동구 효신로 88, 6층 (신암동, 신세계백화점 대구 파미에타운)",128.6332146,35.87971958
ON&ON,대구광역시 동구 대구동구동대구로454,128.626571,35.87077325
SI 보브 이시아폴리스,대구광역시 동구 팔공로49길 16(봉무동),128.6373909,35.92158992
